State Code,County Code,Site Num,Parameter Code,POC,Latitude,Longitude,Datum,Parameter Name,Sample Duration,Pollutant Standard,Date Local,Units of Measure,Event Type,Observation Count,Observation Percent,Arithmetic Mean,1st Max Value,1st Max Hour,AQI,Method Code,Method Name,Local Site Name,Address,State Name,County Name,City Name,CBSA Name,Date of Last Change
49,49,4001,62101,1,40.2518,-111.6494,WGS84,Outdoor Temperature,1 HOUR,,2021-02-07,Degrees Fahrenheit,None,24,100,43.25,54,15,,40,INSTRUMENTAL - ELECTRONIC OR MACHINE AVG.,Lindon,"30 NORTH MAIN STREET, LINDON, UTAH",Utah,Utah,Lindon,"Provo-Orem, UT",2021-04-21
49,49,4001,62101,1,40.2518,-111.6494,WGS84,Outdoor Temperature,1 HOUR,,2021-02-08,Degrees Fahrenheit,None,24,100,47.125,55,15,,40,INSTRUMENTAL - ELECTRONIC OR MACHINE AVG.,Lindon,"30 NORTH MAIN STREET, LINDON, UTAH",Utah,Utah,Lindon,"Provo-Orem, UT",2021-04-21
49,49,4001,62101,1,40.2518,-111.6494,WGS84,Outdoor Temperature,1 HOUR,,2021-02-09,Degrees Fahrenheit,None,24,100,40.708333,44,11,,40,INSTRUMENTAL - ELECTRONIC OR MACHINE AVG.,Lindon,"30 NORTH MAIN STREET, LINDON, UTAH",Utah,Utah,Lindon,"Provo-Orem, UT",2021-04-21
49,49,4001,62101,1,40.2518,-111.6494,WGS84,Outdoor Temperature,1 HOUR,,2021-02-10,Degrees Fahrenheit,None,24,100,43.291667,53,16,,40,INSTRUMENTAL - ELECTRONIC OR MACHINE AVG.,Lindon,"30 NORTH MAIN STREET, LINDON, UTAH",Utah,Utah,Lindon,"Provo-Orem, UT",2021-04-21
49,49,4001,62101,1,40.2518,-111.6494,WGS84,Outdoor Temperature,1 HOUR,,2021-02-11,Degrees Fahrenheit,None,24,100,44.458333,51,14,,40,INSTRUMENTAL - ELECTRONIC OR MACHINE AVG.,Lindon,"30 NORTH MAIN STREET, LINDON, UTAH",Utah,Utah,Lindon,"Provo-Orem, UT",2021-04-21
49,49,4001,62101,1,40.2518,-111.6494,WGS84,Outdoor Temperature,1 HOUR,,2021-02-12,Degrees Fahrenheit,None,24,100,41.583333,47,0,,40,INSTRUMENTAL - ELECTRONIC OR MACHINE AVG.,Lindon,"30 NORTH MAIN STREET, LINDON, UTAH",Utah,Utah,Lindon,"Provo-Orem, UT",2021-04-21
49,49,4001,62101,1,40.2518,-111.6494,WGS84,Outdoor Temperature,1 HOUR,,2021-02-13,Degrees Fahrenheit,None,24,100,35.75,40,0,,40,INSTRUMENTAL - ELECTRONIC OR MACHINE AVG.,Lindon,"30 NORTH MAIN STREET, LINDON, UTAH",Utah,Utah,Lindon,"Provo-Orem, UT",2021-04-21
49,49,4001,62101,1,40.2518,-111.6494,WGS84,Outdoor Temperature,1 HOUR,,2021-02-14,Degrees Fahrenheit,None,24,100,29.916667,34,17,,40,INSTRUMENTAL - ELECTRONIC OR MACHINE AVG.,Lindon,"30 NORTH MAIN STREET, LINDON, UTAH",Utah,Utah,Lindon,"Provo-Orem, UT",2021-04-21
49,49,4001,62101,1,40.2518,-111.6494,WGS84,Outdoor Temperature,1 HOUR,,2021-02-15,Degrees Fahrenheit,None,24,100,29.875,33,17,,40,INSTRUMENTAL - ELECTRONIC OR MACHINE AVG.,Lindon,"30 NORTH MAIN STREET, LINDON, UTAH",Utah,Utah,Lindon,"Provo-Orem, UT",2021-04-21
49,49,4001,62101,1,40.2518,-111.6494,WGS84,Outdoor Temperature,1 HOUR,,2021-02-16,Degrees Fahrenheit,None,24,100,32.166667,36,15,,40,INSTRUMENTAL - ELECTRONIC OR MACHINE AVG.,Lindon,"30 NORTH MAIN STREET, LINDON, UTAH",Utah,Utah,Lindon,"Provo-Orem, UT",2021-04-21
